,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_ALPHA,param_ETA,param_LAMBDA,param_epochs,param_hiddenUnits,param_randomSeed,param_weightInitialization,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,mean_train_score,std_train_score
1643,0.07783937454223633,0.0018847116507704543,0.0004551410675048828,4.161525555161173e-06,0.7,0.9,0.1,100,16,20,type2,"{'ALPHA': 0.7, 'ETA': 0.9, 'LAMBDA': 0.1, 'epochs': 100, 'hiddenUnits': 16, 'randomSeed': 20, 'weightInitialization': 'type2'}",0.6756756756756757,0.5135135135135135,0.6756756756756757,0.6216216216216216,0.07644397634449163,1095,0.7162162162162162,0.5135135135135135,0.6216216216216216,0.6171171171171171,0.08281430770653261
1644,0.07269167900085449,0.010286251843587023,0.0003403027852376302,1.188325226194854e-05,0.7,0.9,0.1,100,50,0,xav,"{'ALPHA': 0.7, 'ETA': 0.9, 'LAMBDA': 0.1, 'epochs': 100, 'hiddenUnits': 50, 'randomSeed': 0, 'weightInitialization': 'xav'}",0.4864864864864865,0.5135135135135135,0.4864864864864865,0.4954954954954955,0.012740662724081912,2245,0.4864864864864865,0.5135135135135135,0.4864864864864865,0.4954954954954955,0.012740662724081912
1645,0.06291826566060384,0.0004428914732951431,0.00035762786865234375,2.2294368224260254e-05,0.7,0.9,0.1,100,50,0,type1,"{'ALPHA': 0.7, 'ETA': 0.9, 'LAMBDA': 0.1, 'epochs': 100, 'hiddenUnits': 50, 'randomSeed': 0, 'weightInitialization': 'type1'}",0.5135135135135135,0.5135135135135135,0.5135135135135135,0.5135135135135135,0.0,1425,0.5135135135135135,0.5135135135135135,0.5135135135135135,0.5135135135135135,0.0
1646,0.07006152470906575,0.005636402654991282,0.0004145304361979167,6.431834328467287e-05,0.7,0.9,0.1,100,50,0,type2,"{'ALPHA': 0.7, 'ETA': 0.9, 'LAMBDA': 0.1, 'epochs': 100, 'hiddenUnits': 50, 'randomSeed': 0, 'weightInitialization': 'type2'}",0.5135135135135135,0.5135135135135135,0.5135135135135135,0.5135135135135135,0.0,1425,0.5135135135135135,0.5135135135135135,0.5135135135135135,0.5135135135135135,0.0
1647,0.06302142143249512,0.0018974323388373602,0.00031956036885579425,1.0264620539806726e-05,0.7,0.9,0.1,100,50,5,xav,"{'ALPHA': 0.7, 'ETA': 0.9, 'LAMBDA': 0.1, 'epochs': 100, 'hiddenUnits': 50, 'randomSeed': 5, 'weightInitialization': 'xav'}",0.5135135135135135,0.4864864864864865,0.5135135135135135,0.5045045045045045,0.012740662724081912,1690,0.5135135135135135,0.4864864864864865,0.5135135135135135,0.5045045045045046,0.012740662724081912
1648,0.09623916943868001,0.00019952129538202738,0.0005557537078857422,9.847582067519847e-06,0.7,0.9,0.1,100,50,5,type1,"{'ALPHA': 0.7, 'ETA': 0.9, 'LAMBDA': 0.1, 'epochs': 100, 'hiddenUnits': 50, 'randomSeed': 5, 'weightInitialization': 'type1'}",0.5135135135135135,0.4864864864864865,0.4864864864864865,0.4954954954954955,0.012740662724081912,2245,0.5135135135135135,0.4864864864864865,0.4864864864864865,0.4954954954954955,0.012740662724081912
1649,0.0631723403930664,0.0009692569462760516,0.00039084752400716144,2.1434995654687737e-05,0.7,0.9,0.1,100,50,5,type2,"{'ALPHA': 0.7, 'ETA': 0.9, 'LAMBDA': 0.1, 'epochs': 100, 'hiddenUnits': 50, 'randomSeed': 5, 'weightInitialization': 'type2'}",0.4864864864864865,0.4864864864864865,0.5135135135135135,0.4954954954954955,0.012740662724081912,2245,0.4864864864864865,0.4864864864864865,0.5135135135135135,0.4954954954954955,0.012740662724081912
1650,0.06165170669555664,0.0014565133381697788,0.00036183993021647137,1.9762712745399676e-05,0.7,0.9,0.1,100,50,10,xav,"{'ALPHA': 0.7, 'ETA': 0.9, 'LAMBDA': 0.1, 'epochs': 100, 'hiddenUnits': 50, 'randomSeed': 10, 'weightInitialization': 'xav'}",0.4864864864864865,0.4864864864864865,0.5135135135135135,0.4954954954954955,0.012740662724081912,2245,0.4864864864864865,0.4864864864864865,0.5135135135135135,0.4954954954954955,0.012740662724081912
1651,0.09581033388773601,0.0002732465767820191,0.000568230946858724,2.3788817003720227e-06,0.7,0.9,0.1,100,50,10,type1,"{'ALPHA': 0.7, 'ETA': 0.9, 'LAMBDA': 0.1, 'epochs': 100, 'hiddenUnits': 50, 'randomSeed': 10, 'weightInitialization': 'type1'}",0.4864864864864865,0.5135135135135135,0.5135135135135135,0.5045045045045045,0.012740662724081912,1690,0.4864864864864865,0.5135135135135135,0.5135135135135135,0.5045045045045046,0.012740662724081912
1652,0.09600559870402019,0.00020177221595708622,0.0005691846211751302,3.914391312924941e-06,0.7,0.9,0.1,100,50,10,type2,"{'ALPHA': 0.7, 'ETA': 0.9, 'LAMBDA': 0.1, 'epochs': 100, 'hiddenUnits': 50, 'randomSeed': 10, 'weightInitialization': 'type2'}",0.5135135135135135,0.4864864864864865,0.4864864864864865,0.4954954954954955,0.012740662724081912,2245,0.5135135135135135,0.4864864864864865,0.4864864864864865,0.4954954954954955,0.012740662724081912
