{'params': {'hiddenUnits': 4, 'activation': 'sigm', 'ETA': 0.1, 'LAMBDA': 0.1, 'ALPHA': 0.9, 'weightInitialization': 'type1', 'epochs': 200}, 'meanTrainingLoss': 8.5176485695632795, 'meanValidationLoss': 8.5610741855365191, 'meanLosses': 8.5393613775498984}
{'params': {'hiddenUnits': 4, 'activation': 'sigm', 'ETA': 0.1, 'LAMBDA': 0.1, 'ALPHA': 0.9, 'weightInitialization': 'type1', 'epochs': 500}, 'meanTrainingLoss': 6.9027252264274264, 'meanValidationLoss': 6.9335533982776285, 'meanLosses': 6.9181393123525279}
{'params': {'hiddenUnits': 4, 'activation': 'sigm', 'ETA': 0.1, 'LAMBDA': 0.1, 'ALPHA': 0.9, 'weightInitialization': 'type2', 'epochs': 200}, 'meanTrainingLoss': 8.7206903092653363, 'meanValidationLoss': 8.7689157280980599, 'meanLosses': 8.7448030186816972}
{'params': {'hiddenUnits': 4, 'activation': 'sigm', 'ETA': 0.1, 'LAMBDA': 0.1, 'ALPHA': 0.9, 'weightInitialization': 'type2', 'epochs': 500}, 'meanTrainingLoss': 6.9874445753035452, 'meanValidationLoss': 7.0200528724423448, 'meanLosses': 7.0037487238729454}
{'params': {'hiddenUnits': 4, 'activation': 'sigm', 'ETA': 0.1, 'LAMBDA': 0.5, 'ALPHA': 0.1, 'weightInitialization': 'xav', 'epochs': 200}, 'meanTrainingLoss': 16.156095973220403, 'meanValidationLoss': 16.441296543252264, 'meanLosses': 16.298696258236333}
{'params': {'hiddenUnits': 4, 'activation': 'sigm', 'ETA': 0.1, 'LAMBDA': 0.5, 'ALPHA': 0.1, 'weightInitialization': 'xav', 'epochs': 500}, 'meanTrainingLoss': 15.990270877968983, 'meanValidationLoss': 16.278174502467603, 'meanLosses': 16.134222690218294}
{'params': {'hiddenUnits': 4, 'activation': 'sigm', 'ETA': 0.1, 'LAMBDA': 0.5, 'ALPHA': 0.1, 'weightInitialization': 'type1', 'epochs': 200}, 'meanTrainingLoss': 16.094513238885046, 'meanValidationLoss': 16.381557818174613, 'meanLosses': 16.238035528529828}
{'params': {'hiddenUnits': 4, 'activation': 'sigm', 'ETA': 0.1, 'LAMBDA': 0.5, 'ALPHA': 0.1, 'weightInitialization': 'type1', 'epochs': 500}, 'meanTrainingLoss': 15.965637124021828, 'meanValidationLoss': 16.254278367816905, 'meanLosses': 16.109957745919367}
{'params': {'hiddenUnits': 4, 'activation': 'sigm', 'ETA': 0.1, 'LAMBDA': 0.5, 'ALPHA': 0.1, 'weightInitialization': 'type2', 'epochs': 200}, 'meanTrainingLoss': 16.175277572605477, 'meanValidationLoss': 16.460672220351611, 'meanLosses': 16.317974896478546}
{'params': {'hiddenUnits': 4, 'activation': 'sigm', 'ETA': 0.1, 'LAMBDA': 0.5, 'ALPHA': 0.1, 'weightInitialization': 'type2', 'epochs': 500}, 'meanTrainingLoss': 15.997954879622826, 'meanValidationLoss': 16.2859358441947, 'meanLosses': 16.141945361908764}
