,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_ALPHA,param_ETA,param_LAMBDA,param_activation,param_epochs,param_hiddenUnits,param_randomSeed,param_weightInitialization,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,mean_train_score,std_train_score
7475,0.09474301338195801,0.011759108924633058,0.0004896322886149088,6.210528137970334e-05,0.9,0.5,0.7,sigm,100,16,20,type2,"{'ALPHA': 0.9, 'ETA': 0.5, 'LAMBDA': 0.7, 'activation': 'sigm', 'epochs': 100, 'hiddenUnits': 16, 'randomSeed': 20, 'weightInitialization': 'type2'}",0.4864864864864865,0.4864864864864865,0.4857142857142857,0.48623853211009177,0.0003605401338953631,6031,0.5,0.4861111111111111,0.4864864864864865,0.49086586586586584,0.006460625947660449
7476,0.13131356239318848,0.035535120223941945,0.0004989306131998698,4.830642573542546e-05,0.9,0.5,0.7,sigm,100,50,0,xav,"{'ALPHA': 0.9, 'ETA': 0.5, 'LAMBDA': 0.7, 'activation': 'sigm', 'epochs': 100, 'hiddenUnits': 50, 'randomSeed': 0, 'weightInitialization': 'xav'}",0.4864864864864865,0.5135135135135135,0.5142857142857142,0.5045871559633027,0.012979444820232507,4676,0.4861111111111111,0.5138888888888888,0.5135135135135135,0.5045045045045046,0.013006995990906963
7477,0.1301883061726888,0.038191137001551606,0.0005672772725423177,4.195549828004922e-05,0.9,0.5,0.7,sigm,100,50,0,type1,"{'ALPHA': 0.9, 'ETA': 0.5, 'LAMBDA': 0.7, 'activation': 'sigm', 'epochs': 100, 'hiddenUnits': 50, 'randomSeed': 0, 'weightInitialization': 'type1'}",0.4864864864864865,0.5135135135135135,0.4857142857142857,0.4954128440366973,0.01297944482023252,5342,0.4861111111111111,0.5138888888888888,0.4864864864864865,0.4954954954954955,0.013006995990906952
7478,0.12010669708251953,0.015896028154741178,0.0005025863647460938,2.5749942392266406e-05,0.9,0.5,0.7,sigm,100,50,0,type2,"{'ALPHA': 0.9, 'ETA': 0.5, 'LAMBDA': 0.7, 'activation': 'sigm', 'epochs': 100, 'hiddenUnits': 50, 'randomSeed': 0, 'weightInitialization': 'type2'}",0.5135135135135135,0.4864864864864865,0.4857142857142857,0.4954128440366973,0.01297944482023252,5342,0.5138888888888888,0.4861111111111111,0.4864864864864865,0.4954954954954955,0.013006995990906952
7479,0.1269068717956543,0.033544627299652366,0.0005767345428466797,0.00012528225218066158,0.9,0.5,0.7,sigm,100,50,5,xav,"{'ALPHA': 0.9, 'ETA': 0.5, 'LAMBDA': 0.7, 'activation': 'sigm', 'epochs': 100, 'hiddenUnits': 50, 'randomSeed': 5, 'weightInitialization': 'xav'}",0.4864864864864865,0.5135135135135135,0.5142857142857142,0.5045871559633027,0.012979444820232507,4676,0.4861111111111111,0.5138888888888888,0.5135135135135135,0.5045045045045046,0.013006995990906963
7480,0.1574894587198893,0.032112671551563034,0.0013086001078287761,0.001035410840361256,0.9,0.5,0.7,sigm,100,50,5,type1,"{'ALPHA': 0.9, 'ETA': 0.5, 'LAMBDA': 0.7, 'activation': 'sigm', 'epochs': 100, 'hiddenUnits': 50, 'randomSeed': 5, 'weightInitialization': 'type1'}",0.5135135135135135,0.4864864864864865,0.5142857142857142,0.5045871559633027,0.012979444820232507,4676,0.5138888888888888,0.4861111111111111,0.5135135135135135,0.5045045045045046,0.013006995990906963
7481,0.13974738121032715,0.06392501240642597,0.0011370182037353516,0.0007150388229789554,0.9,0.5,0.7,sigm,100,50,5,type2,"{'ALPHA': 0.9, 'ETA': 0.5, 'LAMBDA': 0.7, 'activation': 'sigm', 'epochs': 100, 'hiddenUnits': 50, 'randomSeed': 5, 'weightInitialization': 'type2'}",0.4864864864864865,0.5135135135135135,0.4857142857142857,0.4954128440366973,0.01297944482023252,5342,0.4861111111111111,0.5138888888888888,0.4864864864864865,0.4954954954954955,0.013006995990906952
7482,0.1690976619720459,0.04698221379539552,0.0005948543548583984,3.895840319104657e-05,0.9,0.5,0.7,sigm,100,50,10,xav,"{'ALPHA': 0.9, 'ETA': 0.5, 'LAMBDA': 0.7, 'activation': 'sigm', 'epochs': 100, 'hiddenUnits': 50, 'randomSeed': 10, 'weightInitialization': 'xav'}",0.5135135135135135,0.5135135135135135,0.4857142857142857,0.5045871559633027,0.012979444820232527,4676,0.5138888888888888,0.5138888888888888,0.4864864864864865,0.5047547547547547,0.012917616373027482
7483,0.12028972307840984,0.05014896225078131,0.0005214214324951172,4.614123329531519e-05,0.9,0.5,0.7,sigm,100,50,10,type1,"{'ALPHA': 0.9, 'ETA': 0.5, 'LAMBDA': 0.7, 'activation': 'sigm', 'epochs': 100, 'hiddenUnits': 50, 'randomSeed': 10, 'weightInitialization': 'type1'}",0.5135135135135135,0.4864864864864865,0.4857142857142857,0.4954128440366973,0.01297944482023252,5342,0.5138888888888888,0.4861111111111111,0.4864864864864865,0.4954954954954955,0.013006995990906952
7484,0.17389464378356934,0.007779635458909884,0.0007833639780680338,0.00034731738291170054,0.9,0.5,0.7,sigm,100,50,10,type2,"{'ALPHA': 0.9, 'ETA': 0.5, 'LAMBDA': 0.7, 'activation': 'sigm', 'epochs': 100, 'hiddenUnits': 50, 'randomSeed': 10, 'weightInitialization': 'type2'}",0.5135135135135135,0.5135135135135135,0.4857142857142857,0.5045871559633027,0.012979444820232527,4676,0.5138888888888888,0.5138888888888888,0.4864864864864865,0.5047547547547547,0.012917616373027482
7485,0.17676703135172525,0.06347281799291525,0.0005079905192057291,2.4005276850500093e-05,0.9,0.5,0.7,sigm,100,50,20,xav,"{'ALPHA': 0.9, 'ETA': 0.5, 'LAMBDA': 0.7, 'activation': 'sigm', 'epochs': 100, 'hiddenUnits': 50, 'randomSeed': 20, 'weightInitialization': 'xav'}",0.4864864864864865,0.5135135135135135,0.5142857142857142,0.5045871559633027,0.012979444820232507,4676,0.4861111111111111,0.5138888888888888,0.5135135135135135,0.5045045045045046,0.013006995990906963
7486,0.1413454214731852,0.005736660936852736,0.0005194346110026041,4.107878240859634e-05,0.9,0.5,0.7,sigm,100,50,20,type1,"{'ALPHA': 0.9, 'ETA': 0.5, 'LAMBDA': 0.7, 'activation': 'sigm', 'epochs': 100, 'hiddenUnits': 50, 'randomSeed': 20, 'weightInitialization': 'type1'}",0.5135135135135135,0.4864864864864865,0.5142857142857142,0.5045871559633027,0.012979444820232507,4676,0.5138888888888888,0.4861111111111111,0.5135135135135135,0.5045045045045046,0.013006995990906963
7487,0.14758952458699545,0.03719054131719365,0.0005431969960530599,1.526541036420564e-05,0.9,0.5,0.7,sigm,100,50,20,type2,"{'ALPHA': 0.9, 'ETA': 0.5, 'LAMBDA': 0.7, 'activation': 'sigm', 'epochs': 100, 'hiddenUnits': 50, 'randomSeed': 20, 'weightInitialization': 'type2'}",0.4864864864864865,0.4864864864864865,0.5142857142857142,0.4954128440366973,0.012979444820232503,5342,0.4861111111111111,0.4861111111111111,0.5135135135135135,0.4952452452452452,0.012917616373027511
7488,0.20934820175170898,0.01253873084756155,0.000429232915242513,3.0471805511913305e-05,0.9,0.5,0.7,sigm,200,4,0,xav,"{'ALPHA': 0.9, 'ETA': 0.5, 'LAMBDA': 0.7, 'activation': 'sigm', 'epochs': 200, 'hiddenUnits': 4, 'randomSeed': 0, 'weightInitialization': 'xav'}",0.5135135135135135,0.5135135135135135,0.4857142857142857,0.5045871559633027,0.012979444820232527,4676,0.5138888888888888,0.5138888888888888,0.4864864864864865,0.5047547547547547,0.012917616373027482
7489,0.22895328203837076,0.02242804009398195,0.0004425843556722005,3.168386669825398e-05,0.9,0.5,0.7,sigm,200,4,0,type1,"{'ALPHA': 0.9, 'ETA': 0.5, 'LAMBDA': 0.7, 'activation': 'sigm', 'epochs': 200, 'hiddenUnits': 4, 'randomSeed': 0, 'weightInitialization': 'type1'}",0.8918918918918919,0.4864864864864865,0.4857142857142857,0.6238532110091743,0.19214658246579921,1180,0.9027777777777778,0.4861111111111111,0.4864864864864865,0.6251251251251251,0.1963301333136936
7490,0.17512011528015137,0.023360437937162613,0.00048605600992838543,1.4945546908067955e-05,0.9,0.5,0.7,sigm,200,4,0,type2,"{'ALPHA': 0.9, 'ETA': 0.5, 'LAMBDA': 0.7, 'activation': 'sigm', 'epochs': 200, 'hiddenUnits': 4, 'randomSeed': 0, 'weightInitialization': 'type2'}",0.4864864864864865,0.5135135135135135,0.5142857142857142,0.5045871559633027,0.012979444820232507,4676,0.4861111111111111,0.5138888888888888,0.5135135135135135,0.5045045045045046,0.013006995990906963
7491,0.27130643526713055,0.02834279868654425,0.0003898938496907552,6.77126487237328e-05,0.9,0.5,0.7,sigm,200,4,5,xav,"{'ALPHA': 0.9, 'ETA': 0.5, 'LAMBDA': 0.7, 'activation': 'sigm', 'epochs': 200, 'hiddenUnits': 4, 'randomSeed': 5, 'weightInitialization': 'xav'}",0.5135135135135135,0.5675675675675675,0.5142857142857142,0.5321100917431193,0.025419997133950465,1387,0.5138888888888888,0.5416666666666666,0.5135135135135135,0.523023023023023,0.013183937522644492
7492,0.22435450553894043,0.044090847715907815,0.0004398822784423828,2.0349087414296973e-05,0.9,0.5,0.7,sigm,200,4,5,type1,"{'ALPHA': 0.9, 'ETA': 0.5, 'LAMBDA': 0.7, 'activation': 'sigm', 'epochs': 200, 'hiddenUnits': 4, 'randomSeed': 5, 'weightInitialization': 'type1'}",0.4864864864864865,0.5945945945945946,0.4857142857142857,0.5229357798165137,0.051370327121972335,1413,0.4861111111111111,0.6388888888888888,0.4864864864864865,0.5371621621621622,0.07193182153756757
7493,0.1778381665547689,0.017692538519187947,0.000455935796101888,5.627262135493758e-05,0.9,0.5,0.7,sigm,200,4,5,type2,"{'ALPHA': 0.9, 'ETA': 0.5, 'LAMBDA': 0.7, 'activation': 'sigm', 'epochs': 200, 'hiddenUnits': 4, 'randomSeed': 5, 'weightInitialization': 'type2'}",0.9459459459459459,0.918918918918919,0.4857142857142857,0.7889908256880734,0.20886946011781451,862,0.9305555555555556,0.9444444444444444,0.4864864864864865,0.7871621621621622,0.2126854042412722
7494,0.23241766293843588,0.023717939841077517,0.0005599657694498698,0.0001749424202617623,0.9,0.5,0.7,sigm,200,4,10,xav,"{'ALPHA': 0.9, 'ETA': 0.5, 'LAMBDA': 0.7, 'activation': 'sigm', 'epochs': 200, 'hiddenUnits': 4, 'randomSeed': 10, 'weightInitialization': 'xav'}",0.5135135135135135,0.4864864864864865,0.4857142857142857,0.4954128440366973,0.01297944482023252,5342,0.5138888888888888,0.4861111111111111,0.4864864864864865,0.4954954954954955,0.013006995990906952
7495,0.23801310857137045,0.03319635780752167,0.0004603068033854167,4.127756374599544e-05,0.9,0.5,0.7,sigm,200,4,10,type1,"{'ALPHA': 0.9, 'ETA': 0.5, 'LAMBDA': 0.7, 'activation': 'sigm', 'epochs': 200, 'hiddenUnits': 4, 'randomSeed': 10, 'weightInitialization': 'type1'}",0.5135135135135135,0.4864864864864865,0.5714285714285714,0.5229357798165137,0.03515959583527106,1413,0.5138888888888888,0.4861111111111111,0.5675675675675675,0.5225225225225225,0.03381018876907279
7496,0.23053216934204102,0.049168105618913646,0.00045609474182128906,1.844010118262244e-05,0.9,0.5,0.7,sigm,200,4,10,type2,"{'ALPHA': 0.9, 'ETA': 0.5, 'LAMBDA': 0.7, 'activation': 'sigm', 'epochs': 200, 'hiddenUnits': 4, 'randomSeed': 10, 'weightInitialization': 'type2'}",0.5135135135135135,0.5675675675675675,0.5142857142857142,0.5321100917431193,0.025419997133950465,1387,0.5138888888888888,0.625,0.5135135135135135,0.5508008008008008,0.052466980714985206
7497,0.15277767181396484,0.012632700396240669,0.0009710788726806641,0.0007127919944760015,0.9,0.5,0.7,sigm,200,4,20,xav,"{'ALPHA': 0.9, 'ETA': 0.5, 'LAMBDA': 0.7, 'activation': 'sigm', 'epochs': 200, 'hiddenUnits': 4, 'randomSeed': 20, 'weightInitialization': 'xav'}",0.4864864864864865,0.5135135135135135,0.4857142857142857,0.4954128440366973,0.01297944482023252,5342,0.4861111111111111,0.5138888888888888,0.4864864864864865,0.4954954954954955,0.013006995990906952
7498,0.14343023300170898,0.01042416666191975,0.0003963311513264974,7.477412123611021e-05,0.9,0.5,0.7,sigm,200,4,20,type1,"{'ALPHA': 0.9, 'ETA': 0.5, 'LAMBDA': 0.7, 'activation': 'sigm', 'epochs': 200, 'hiddenUnits': 4, 'randomSeed': 20, 'weightInitialization': 'type1'}",0.5405405405405406,0.4864864864864865,0.4857142857142857,0.5045871559633027,0.025775467806248415,4676,0.6111111111111112,0.4861111111111111,0.4864864864864865,0.5279029029029029,0.058837287845852244
7499,0.22346830368041992,0.021026457756211335,0.00045998891194661457,3.068681652956207e-05,0.9,0.5,0.7,sigm,200,4,20,type2,"{'ALPHA': 0.9, 'ETA': 0.5, 'LAMBDA': 0.7, 'activation': 'sigm', 'epochs': 200, 'hiddenUnits': 4, 'randomSeed': 20, 'weightInitialization': 'type2'}",0.5675675675675675,0.5135135135135135,0.6,0.5596330275229358,0.03558953005206085,1315,0.625,0.5138888888888888,0.7297297297297297,0.6228728728728729,0.08812949050906672
7500,0.24202958742777506,0.04772081224887956,0.00044767061869303387,3.354526720178889e-05,0.9,0.5,0.7,sigm,200,16,0,xav,"{'ALPHA': 0.9, 'ETA': 0.5, 'LAMBDA': 0.7, 'activation': 'sigm', 'epochs': 200, 'hiddenUnits': 16, 'randomSeed': 0, 'weightInitialization': 'xav'}",0.5135135135135135,0.5945945945945946,0.4857142857142857,0.5321100917431193,0.046194182671181784,1387,0.5138888888888888,0.5555555555555556,0.4864864864864865,0.5186436436436437,0.0283970637578413
7501,0.20836329460144043,0.013040955924312385,0.00042366981506347656,4.594658621992783e-05,0.9,0.5,0.7,sigm,200,16,0,type1,"{'ALPHA': 0.9, 'ETA': 0.5, 'LAMBDA': 0.7, 'activation': 'sigm', 'epochs': 200, 'hiddenUnits': 16, 'randomSeed': 0, 'weightInitialization': 'type1'}",0.5405405405405406,0.5135135135135135,0.5142857142857142,0.5229357798165137,0.012624054208969986,1413,0.5833333333333334,0.5138888888888888,0.5135135135135135,0.536911911911912,0.03282525960046639
7502,0.23023509979248047,0.07632503664747203,0.001251220703125,0.0011294371679994876,0.9,0.5,0.7,sigm,200,16,0,type2,"{'ALPHA': 0.9, 'ETA': 0.5, 'LAMBDA': 0.7, 'activation': 'sigm', 'epochs': 200, 'hiddenUnits': 16, 'randomSeed': 0, 'weightInitialization': 'type2'}",0.5135135135135135,0.4864864864864865,0.4857142857142857,0.4954128440366973,0.01297944482023252,5342,0.5138888888888888,0.4861111111111111,0.4864864864864865,0.4954954954954955,0.013006995990906952
7503,0.2568994363149007,0.056452809570858256,0.0004526774088541667,3.2028844253977904e-05,0.9,0.5,0.7,sigm,200,16,5,xav,"{'ALPHA': 0.9, 'ETA': 0.5, 'LAMBDA': 0.7, 'activation': 'sigm', 'epochs': 200, 'hiddenUnits': 16, 'randomSeed': 5, 'weightInitialization': 'xav'}",0.4864864864864865,0.5135135135135135,0.5714285714285714,0.5229357798165137,0.03515959583527106,1413,0.4861111111111111,0.5138888888888888,0.5675675675675675,0.5225225225225225,0.03381018876907279
7504,0.3249984582265218,0.011229096750992882,0.00047818819681803387,4.045644743346096e-05,0.9,0.5,0.7,sigm,200,16,5,type1,"{'ALPHA': 0.9, 'ETA': 0.5, 'LAMBDA': 0.7, 'activation': 'sigm', 'epochs': 200, 'hiddenUnits': 16, 'randomSeed': 5, 'weightInitialization': 'type1'}",0.4864864864864865,0.5135135135135135,0.4857142857142857,0.4954128440366973,0.01297944482023252,5342,0.4861111111111111,0.5138888888888888,0.4864864864864865,0.4954954954954955,0.013006995990906952
7505,0.21966163317362467,0.06584330803179625,0.00047898292541503906,2.0900304450869195e-05,0.9,0.5,0.7,sigm,200,16,5,type2,"{'ALPHA': 0.9, 'ETA': 0.5, 'LAMBDA': 0.7, 'activation': 'sigm', 'epochs': 200, 'hiddenUnits': 16, 'randomSeed': 5, 'weightInitialization': 'type2'}",0.5135135135135135,0.8648648648648649,0.7428571428571429,0.7064220183486238,0.14690141279584026,1005,0.5138888888888888,0.9166666666666666,0.8918918918918919,0.7741491491491491,0.18430952167362202
7506,0.2996984322865804,0.08421280676835226,0.00041906038920084637,7.737220651752518e-05,0.9,0.5,0.7,sigm,200,16,10,xav,"{'ALPHA': 0.9, 'ETA': 0.5, 'LAMBDA': 0.7, 'activation': 'sigm', 'epochs': 200, 'hiddenUnits': 16, 'randomSeed': 10, 'weightInitialization': 'xav'}",0.5135135135135135,0.5135135135135135,0.9142857142857143,0.6422018348623854,0.18712032949168575,1118,0.5138888888888888,0.5138888888888888,0.8243243243243243,0.6173673673673673,0.14634066767799672
